id,name,retailer,synonyms,status,Progress,date_created,date_updated,Matching Brand name,Confidence Score,Automated Status
4207854,BXR Briefs,walmart-us,,pending,,2018-08-29 18:20:39,,,,
4207855,Robinson,walmart-us,,pending,,2018-08-29 18:20:39,,,,
4207856,David Brooks,walmart-us,,pending,,2018-08-29 18:20:39,,,,
4207857,Emgee,walmart-us,,pending,,2018-08-29 18:20:39,,,,
4207858,Henry Jay,walmart-us,,pending,,2018-08-29 18:20:39,,,,
4207850,My Ruin,walmart-us,,pending,,2018-08-29 18:20:38,,,,
4207851,BSN-JOBST,walmart-us,,pending,,2018-08-29 18:20:38,,,,
4207852,Penguin Magic (V),walmart-us,,pending,,2018-08-29 18:20:38,,,,
4207853,Dig,walmart-us,,pending,,2018-08-29 18:20:38,,,,
4207846,Crazy Aaron's,walmart-us,,pending,,2018-08-29 18:20:37,,,,
4207847,Celitas Design,walmart-us,,pending,,2018-08-29 18:20:37,,,,
4207848,Don Alleson,walmart-us,,pending,,2018-08-29 18:20:37,,,,
4207849,ducati,walmart-us,,pending,,2018-08-29 18:20:37,,,,
4207842,Jack Dempsey,walmart-us,,pending,,2018-08-29 18:20:36,,,,
4207843,Bury Your Dead,walmart-us,,pending,,2018-08-29 18:20:36,,,,
4207844,Sermoneta,walmart-us,,pending,,2018-08-29 18:20:36,,,,
4207845,ShoSho Fashion,walmart-us,,pending,,2018-08-29 18:20:36,,,,
4207840,Hetalia,walmart-us,,pending,,2018-08-29 18:20:31,,,,
4207841,Amurs Superb,walmart-us,,pending,,2018-08-29 18:20:31,,,,
4207838,Sports Imports LLC,walmart-us,,pending,,2018-08-29 18:20:30,,,,
4207839,Saosin,walmart-us,,pending,,2018-08-29 18:20:30,,,,
4207834,Hammer Bowling Products,walmart-us,,pending,,2018-08-29 18:20:29,,,,
4207835,SEAT SACK,walmart-us,,pending,,2018-08-29 18:20:29,,,,
4207836,Deuce Three Prods.,walmart-us,,pending,,2018-08-29 18:20:29,,,,
4207837,Off The Wall Toys,walmart-us,,pending,,2018-08-29 18:20:29,,,,
4207830,PackLite™,walmart-us,,pending,,2018-08-29 18:20:28,,,,
4207831,TravelKart,walmart-us,,pending,,2018-08-29 18:20:28,,,,
4207832,Funimation,walmart-us,,pending,,2018-08-29 18:20:28,,,,
4207833,Tankard,walmart-us,,pending,,2018-08-29 18:20:28,,,,
4207826,Stahlsac,walmart-us,,pending,,2018-08-29 18:20:27,,,,
4207827,Tomym Hilfiger,walmart-us,,pending,,2018-08-29 18:20:27,,,,
4207828,SOSecure,walmart-us,,pending,,2018-08-29 18:20:27,,,,
4207829,KATIE TODD,walmart-us,,pending,,2018-08-29 18:20:27,,,,
4207820,ED On Air,walmart-us,,pending,,2018-08-29 18:20:26,,,,
4207821,Fnova,walmart-us,,pending,,2018-08-29 18:20:26,,,,
4207822,GForce,walmart-us,,pending,,2018-08-29 18:20:26,,,,
4207823,angeles,walmart-us,,pending,,2018-08-29 18:20:26,,,,
4207824, Juniper's Secret,walmart-us,,pending,,2018-08-29 18:20:26,,,,
4207825,Hammond And Stephens,walmart-us,,pending,,2018-08-29 18:20:26,,,,
4207817,SuprJETech,walmart-us,,pending,,2018-08-29 18:20:25,,,,
4207818,Chou-Simons Ruth,walmart-us,,pending,,2018-08-29 18:20:25,,,,
4207819,Luggage America,walmart-us,,pending,,2018-08-29 18:20:25,,,,
4207812,808 Ave,walmart-us,,pending,,2018-08-29 18:20:21,,,,
4207809,Unico Interior LLC,walmart-us,,pending,,2018-08-29 18:20:20,,,,
4207810,Jammies,walmart-us,,pending,,2018-08-29 18:20:20,,,,
4207811,iCandy Combat,walmart-us,,pending,,2018-08-29 18:20:20,,,,
4207806,CLEAN MOTION,walmart-us,,pending,,2018-08-29 18:20:19,,,,
4207807,KLEAN CANTEEN,walmart-us,,pending,,2018-08-29 18:20:19,,,,
4207808,Cute baby Inc.,walmart-us,,pending,,2018-08-29 18:20:19,,,,
4207804,MAGPUL INDUSTRIES CORPORATION,walmart-us,,pending,,2018-08-29 18:20:18,,,,
4207805,Pin And Patch Man,walmart-us,,pending,,2018-08-29 18:20:18,,,,
4207800,Trick Tops,walmart-us,,pending,,2018-08-29 18:20:17,,,,
4207801,Global Design Concepts Inc,walmart-us,,pending,,2018-08-29 18:20:17,,,,
4207802,RC Hagen,walmart-us,,pending,,2018-08-29 18:20:17,,,,
4207803,Fly Zone,walmart-us,,pending,,2018-08-29 18:20:17,,,,
4207796,Sperian Hand Protection,walmart-us,,pending,,2018-08-29 18:20:16,,,,
4207797,Cool Downz,walmart-us,,pending,,2018-08-29 18:20:16,,,,
4207798,Mon Image,walmart-us,,pending,,2018-08-29 18:20:16,,,,
4207799,Niteize,walmart-us,,pending,,2018-08-29 18:20:16,,,,
4207792,MagnaFlow,walmart-us,,pending,,2018-08-29 18:20:15,,,,
4207793,NY.Sunglass,walmart-us,,pending,,2018-08-29 18:20:15,,,,
4207794,Avio Milano,walmart-us,,pending,,2018-08-29 18:20:15,,,,
4207795,All For Color,walmart-us,,pending,,2018-08-29 18:20:15,,,,
4207790,Thana,walmart-us,,pending,,2018-08-29 18:20:11,,,,
4207791,Centorum,walmart-us,,pending,,2018-08-29 18:20:11,,,,
4207785,Dimension W,walmart-us,,pending,,2018-08-29 18:20:10,,,,
4207786,Jobri,walmart-us,,pending,,2018-08-29 18:20:10,,,,
4207787,Smeeto,walmart-us,,pending,,2018-08-29 18:20:10,,,,
4207788,Purse Essentials,walmart-us,,pending,,2018-08-29 18:20:10,,,,
4207789,Thrifty Zippers,walmart-us,,pending,,2018-08-29 18:20:10,,,,
4207783,Essential Medical Supply,walmart-us,,pending,,2018-08-29 18:20:09,,,,
4207784,M Made in Italy,walmart-us,,pending,,2018-08-29 18:20:09,,,,
4207780,Zaltana Camping,walmart-us,,pending,,2018-08-29 18:20:08,,,,
4207781,GOGBY,walmart-us,,pending,,2018-08-29 18:20:08,,,,
4207782,Hot in Hollywood,walmart-us,,pending,,2018-08-29 18:20:08,,,,
4207775,Boob-eez,walmart-us,,pending,,2018-08-29 18:20:07,,,,
4207776,Acr Electronics,walmart-us,,pending,,2018-08-29 18:20:07,,,,
4207777,Jands,walmart-us,,pending,,2018-08-29 18:20:07,,,,
4207778,Comfee Fit,walmart-us,,pending,,2018-08-29 18:20:07,,,,
4207779,Kids Army,walmart-us,,pending,,2018-08-29 18:20:07,,,,
4207771,Bright Shield,walmart-us,,pending,,2018-08-29 18:20:06,,,,
4207774,350,walmart-us,,pending,,2018-08-29 18:20:06,,,,
4207765,Double H Boots,walmart-us,,pending,,2018-08-29 18:20:05,,,,
4207766,Absolutely Creative Worldwide,walmart-us,,pending,,2018-08-29 18:20:05,,,,
4207767,We Baby,walmart-us,,pending,,2018-08-29 18:20:05,,,,
4207768,Connected Appaarel,walmart-us,,pending,,2018-08-29 18:20:05,,,,
4207761,GOODIE THINGS,walmart-us,,pending,,2018-08-29 18:20:04,,,,
4207762,Meditex Uriel,walmart-us,,pending,,2018-08-29 18:20:04,,,,
4207763,North Action,walmart-us,,pending,,2018-08-29 18:20:04,,,,
4207764,Doobo,walmart-us,,pending,,2018-08-29 18:20:04,,,,
4207759,Fervent,walmart-us,,pending,,2018-08-29 18:20:03,,,,
4207760,HITT BRANDS,walmart-us,,pending,,2018-08-29 18:20:03,,,,
4207758,Northing Nowhere,walmart-us,,pending,,2018-08-29 18:19:59,,,,
4207752,SEASONAL SCRUB TOP,walmart-us,,pending,,2018-08-29 18:19:58,,,,
4207753,OrrinSports,walmart-us,,pending,,2018-08-29 18:19:58,,,,
4207754,Licensed 2 Play Toys,walmart-us,,pending,,2018-08-29 18:19:58,,,,
4207755,Wild Things Tactical,walmart-us,,pending,,2018-08-29 18:19:58,,,,
4207756,LRL Lauren Jeans Co.,walmart-us,,pending,,2018-08-29 18:19:58,,,,
4207757,Scott Specialties,walmart-us,,pending,,2018-08-29 18:19:58,,,,
4207748,Dot Line,walmart-us,,pending,,2018-08-29 18:19:57,,,,
4207749,Lliberty,walmart-us,,pending,,2018-08-29 18:19:57,,,,
4207750,Atlas Gove / LFS,walmart-us,,pending,,2018-08-29 18:19:57,,,,
4207751,Xxx Holic,walmart-us,,pending,,2018-08-29 18:19:57,,,,
4207744,Zelda Matilda,walmart-us,,pending,,2018-08-29 18:19:56,,,,
4207745,Dehli Mint,walmart-us,,pending,,2018-08-29 18:19:56,,,,
4207746,S-Seal,walmart-us,,pending,,2018-08-29 18:19:56,,,,
4207747,Real Tree AP,walmart-us,,pending,,2018-08-29 18:19:56,,,,
4207738,NuttyBuddy,walmart-us,,pending,,2018-08-29 18:19:55,,,,
4207739,Royce Too Llc,walmart-us,,pending,,2018-08-29 18:19:55,,,,
4207740,WildKlass,walmart-us,,pending,,2018-08-29 18:19:55,,,,
4207741,Con.Struct,walmart-us,,pending,,2018-08-29 18:19:55,,,,
4207742,ActionTech,walmart-us,,pending,,2018-08-29 18:19:55,,,,
4207743,Brite Safety,walmart-us,,pending,,2018-08-29 18:19:55,,,,
4207735,Living Grace,walmart-us,,pending,,2018-08-29 18:19:54,,,,
4207736,KEHU,walmart-us,,pending,,2018-08-29 18:19:54,,,,
4207737,Dreamwork,walmart-us,,pending,,2018-08-29 18:19:54,,,,
4207729,COMMONWEALTH,walmart-us,,pending,,2018-08-29 18:19:53,,,,
4207730,Easy Glove,walmart-us,,pending,,2018-08-29 18:19:53,,,,
4207731,MEILINDA,walmart-us,,pending,,2018-08-29 18:19:53,,,,
4207732,Fun Collections,walmart-us,,pending,,2018-08-29 18:19:53,,,,
4207733,Escantee,walmart-us,,pending,,2018-08-29 18:19:53,,,,
4207734,Innovative Scuba Concepts,walmart-us,,pending,,2018-08-29 18:19:53,,,,
4207727,Kelly Silver Star,walmart-us,,pending,,2018-08-29 18:19:52,,,,
4207728,Country Brook Design Inc,walmart-us,,pending,,2018-08-29 18:19:52,,,,
4207721,"Spud, Inc.",walmart-us,,pending,,2018-08-29 18:19:51,,,,
4207723,UNDER ARMOUR UA Shoes,walmart-us,,pending,,2018-08-29 18:19:51,,,,
4207726,XPB,walmart-us,,pending,,2018-08-29 18:19:51,,,,
4207715,GREAT DAY INC,walmart-us,,pending,,2018-08-29 18:19:46,,,,
4207716,Bell-Horn,walmart-us,,pending,,2018-08-29 18:19:46,,,,
4207717,Neenah Paper,walmart-us,,pending,,2018-08-29 18:19:46,,,,
4207711,Jacquard,walmart-us,,pending,,2018-08-29 18:19:45,,,,
4207712,Mack & Co.,walmart-us,,pending,,2018-08-29 18:19:45,,,,
4207713,Medicool,walmart-us,,pending,,2018-08-29 18:19:45,,,,
4207714,OC,walmart-us,,pending,,2018-08-29 18:19:45,,,,
4207707,Green Label,walmart-us,,pending,,2018-08-29 18:19:44,,,,
4207708,DWDPG70,walmart-us,,pending,,2018-08-29 18:19:44,,,,
4207709,B0167I9D92,walmart-us,,pending,,2018-08-29 18:19:44,,,,
4207710,Liuid,walmart-us,,pending,,2018-08-29 18:19:44,,,,
4207704,Bags Clebourne Cargo Duffel,walmart-us,,pending,,2018-08-29 18:19:43,,,,
4207705,Miche,walmart-us,,pending,,2018-08-29 18:19:43,,,,
4207706,Thermal Socks,walmart-us,,pending,,2018-08-29 18:19:43,,,,
4207702,Perris,walmart-us,,pending,,2018-08-29 18:19:42,,,,
4207703,SOJITEK,walmart-us,,pending,,2018-08-29 18:19:42,,,,
4207698,Gresh Dannah,walmart-us,,pending,,2018-08-29 18:19:41,,,,
4207699,ML,walmart-us,,pending,,2018-08-29 18:19:41,,,,
4207700,CCandy,walmart-us,,pending,,2018-08-29 18:19:41,,,,
4207701,Leather King,walmart-us,,pending,,2018-08-29 18:19:41,,,,
4207694,SunFrog Shirts,walmart-us,,pending,,2018-08-29 18:19:40,,,,
4207695,Miami Vice,walmart-us,,pending,,2018-08-29 18:19:40,,,,
4207696,State O Maine,walmart-us,,pending,,2018-08-29 18:19:40,,,,
4207697,Jay Walker,walmart-us,,pending,,2018-08-29 18:19:40,,,,
4207686,Vestures Flourish,walmart-us,,pending,,2018-08-29 18:19:35,,,,
4207687,Fat Face Denim,walmart-us,,pending,,2018-08-29 18:19:35,,,,
4207688,Mad Dog Concepts,walmart-us,,pending,,2018-08-29 18:19:35,,,,
4207691,Rocknight,walmart-us,,pending,,2018-08-29 18:19:35,,,,
4207681,Sheer Vision,walmart-us,,pending,,2018-08-29 18:19:34,,,,
4207682,New York Sunglasses,walmart-us,,pending,,2018-08-29 18:19:34,,,,
4207683,Padlockable Cam Lock,walmart-us,,pending,,2018-08-29 18:19:34,,,,
4207684,La Petite Couture,walmart-us,,pending,,2018-08-29 18:19:34,,,,
4207685,Dandelion Wishes,walmart-us,,pending,,2018-08-29 18:19:34,,,,
4207678,Kingdom of Hearts,walmart-us,,pending,,2018-08-29 18:19:33,,,,
4207679,globee,walmart-us,,pending,,2018-08-29 18:19:33,,,,
4207680,Parris,walmart-us,,pending,,2018-08-29 18:19:33,,,,
4207675,Context By Lord & Taylor,walmart-us,,pending,,2018-08-29 18:19:32,,,,
